Item ID,Brand,CATEGORY
1BUT101,GENERAL CANDY,
1CAR101,GENERAL CANDY,
1COM103,GENERAL CANDY,
1COM104,GENERAL CANDY,
1COM111,GENERAL CANDY,
1COM112,GENERAL CANDY,
1COM113,GENERAL CANDY,
1COM114,GENERAL CANDY,
1DAV201,GENERAL CANDY,
1DAV202,GENERAL CANDY,
1DAV203,GENERAL CANDY,
1DAV204,GENERAL CANDY,
1DAV205,GENERAL CANDY,
1DAV206,GENERAL CANDY,
1DAV207,GENERAL CANDY,
1DOV101,GENERAL CANDY,
1EFR103,GENERAL CANDY,
1EFR105,GENERAL CANDY,
1FRO101,GENERAL CANDY,
1FRO102,GENERAL CANDY,
1FRO111,GENERAL CANDY,
1GEN101,GENERAL CANDY,
1GEN102-1,GENERAL CANDY,
1HAN102,GENERAL CANDY,
1HEA101,GENERAL CANDY,
1HER101,GENERAL CANDY,
1HER101-1,GENERAL CANDY,
1HER102,GENERAL CANDY,
1HER102-1,GENERAL CANDY,
1HER103,GENERAL CANDY,
1HER104,GENERAL CANDY,
1HER105,GENERAL CANDY,
1HER109,GENERAL CANDY,
1HER110,GENERAL CANDY,
1HER111,GENERAL CANDY,
1HER112,GENERAL CANDY,
1HER113,GENERAL CANDY,
1HER201,GENERAL CANDY,
1HER202,GENERAL CANDY,
1HER203,GENERAL CANDY,
1HER204,GENERAL CANDY,
1HER205,GENERAL CANDY,
1HER206,GENERAL CANDY,
1ICE101,GENERAL CANDY,
1ICE102,GENERAL CANDY,
1ICE103,GENERAL CANDY,
1ICE104,GENERAL CANDY,
1ICE105,GENERAL CANDY,
1ICE106,GENERAL CANDY,
1ICE107,GENERAL CANDY,
1ICE108,GENERAL CANDY,
1ICE109,GENERAL CANDY,
1ICE110,GENERAL CANDY,
1ICE111,GENERAL CANDY,
1ICE112,GENERAL CANDY,
1ICE201,GENERAL CANDY,
1ICE202,GENERAL CANDY,
1ICE203,GENERAL CANDY,
1ICE204,GENERAL CANDY,
1ICE205,GENERAL CANDY,
1ICE206,GENERAL CANDY,
1ICE301,GENERAL CANDY,
1ICE302,GENERAL CANDY,
1ICE303,GENERAL CANDY,
1ICE304,GENERAL CANDY,
1ICE305,GENERAL CANDY,
1ICE306,GENERAL CANDY,
1JOL102,GENERAL CANDY,
1JOL104,GENERAL CANDY,
1JOL106,GENERAL CANDY,
1JOL111-1,GENERAL CANDY,
1JOL112-1,GENERAL CANDY,
1JOL113-1,GENERAL CANDY,
1JOL114,GENERAL CANDY,
1KEE104,GENERAL CANDY,
1KEE105,GENERAL CANDY,
1KEE106,GENERAL CANDY,
1KIS101,GENERAL CANDY,
1KIT101,GENERAL CANDY,
1KIT102,GENERAL CANDY,
1KIT103,GENERAL CANDY,
1KIT104,GENERAL CANDY,
1KIT105,GENERAL CANDY,
1KIT201,GENERAL CANDY,
1KIT202,GENERAL CANDY,
1KIT203,GENERAL CANDY,
1LIF111,GENERAL CANDY,
1LIF112,GENERAL CANDY,
1LIF113,GENERAL CANDY,
1LIF201,GENERAL CANDY,
1LIF202,GENERAL CANDY,
1LIF203,GENERAL CANDY,
1LIF204,GENERAL CANDY,
1LIF205,GENERAL CANDY,
1LIF206,GENERAL CANDY,
1LIF207,GENERAL CANDY,
1MAM101,GENERAL CANDY,
1MAM102,GENERAL CANDY,
1MAM103,GENERAL CANDY,
1MAM104,GENERAL CANDY,
1MEN101,GENERAL CANDY,
1MEN102,GENERAL CANDY,
1MEN104,GENERAL CANDY,
1MEN105,GENERAL CANDY,
1MEN106,GENERAL CANDY,
1MEN107,GENERAL CANDY,
1MEN108,GENERAL CANDY,
1MEN121,GENERAL CANDY,
1MEN122,GENERAL CANDY,
1MEN123,GENERAL CANDY,
1MEN131,GENERAL CANDY,
1MEN132,GENERAL CANDY,
1MEN133,GENERAL CANDY,
1MIK131,GENERAL CANDY,
1MIK132,GENERAL CANDY,
1MIK134,GENERAL CANDY,
1MIK135,GENERAL CANDY,
1MIL101,GENERAL CANDY,
1MIL111,GENERAL CANDY,
1MIL112,GENERAL CANDY,
1MNM101,GENERAL CANDY,
1MNM102,GENERAL CANDY,
1MNM104,GENERAL CANDY,
1MNM105,GENERAL CANDY,
1MNM106,GENERAL CANDY,
1MNM107,GENERAL CANDY,
1MNM108,GENERAL CANDY,
1MNM109,GENERAL CANDY,
1MNM201,GENERAL CANDY,
1MNM202,GENERAL CANDY,
1MNM203,GENERAL CANDY,
1MNM204,GENERAL CANDY,
1MNM205,GENERAL CANDY,
1MNM211,GENERAL CANDY,
1MNM212,GENERAL CANDY,
1MOU101,GENERAL CANDY,
1MRG101,GENERAL CANDY,
1MRG111,GENERAL CANDY,
1MUS101,GENERAL CANDY,
1MUS201,GENERAL CANDY,
1NER101,GENERAL CANDY,
1NER102,GENERAL CANDY,
1NER111,GENERAL CANDY,
1NER112,GENERAL CANDY,
1NER113,GENERAL CANDY,
1NES101,GENERAL CANDY,
1NES111,GENERAL CANDY,
1NES112,GENERAL CANDY,
1NES113,GENERAL CANDY,
1PAY101,GENERAL CANDY,
1PAY111,GENERAL CANDY,
1PEN101,GENERAL CANDY,
1POP101,GENERAL CANDY,
1POP102,GENERAL CANDY,
1POP105,GENERAL CANDY,
1POP107,GENERAL CANDY,
1POP201,GENERAL CANDY,
1REE101,GENERAL CANDY,
1REE102,GENERAL CANDY,
1REE103,GENERAL CANDY,
1REE201,GENERAL CANDY,
1REE202,GENERAL CANDY,
1REE203,GENERAL CANDY,
1REE204,GENERAL CANDY,
1REE205,GENERAL CANDY,
1REE206,GENERAL CANDY,
1REE207,GENERAL CANDY,
1REE208,GENERAL CANDY,
1RIC101,GENERAL CANDY,
1RIC201,GENERAL CANDY,
1RIC202,GENERAL CANDY,
1SKI101,GENERAL CANDY,
1SKI102,GENERAL CANDY,
1SKI103,GENERAL CANDY,
1SKI104,GENERAL CANDY,
1SKI106,GENERAL CANDY,
1SKI111,GENERAL CANDY,
1SKI112,GENERAL CANDY,
1SKI113,GENERAL CANDY,
1SKI121,GENERAL CANDY,
1SKI201,GENERAL CANDY,
1SKI212,GENERAL CANDY,
1SLI101,GENERAL CANDY,
1SLI103,GENERAL CANDY,
1SLI104,GENERAL CANDY,
1SLI106,GENERAL CANDY,
1SLI107,GENERAL CANDY,
1SLI109,GENERAL CANDY,
1SLI201-1,GENERAL CANDY,
1SLI202,GENERAL CANDY,
1SNI101,GENERAL CANDY,
1SNI102,GENERAL CANDY,
1SNI103,GENERAL CANDY,
1SNI104,GENERAL CANDY,
1SNI105,GENERAL CANDY,
1SNI201,GENERAL CANDY,
1SNI202,GENERAL CANDY,
1SNI203,GENERAL CANDY,
1STA101,GENERAL CANDY,
1STA103,GENERAL CANDY,
1STA104,GENERAL CANDY,
1STA108,GENERAL CANDY,
1STA109,GENERAL CANDY,
1STA111,GENERAL CANDY,
1STA121,GENERAL CANDY,
1STA201,GENERAL CANDY,
1STA202,GENERAL CANDY,
1STA301,GENERAL CANDY,
1STA303,GENERAL CANDY,
1STA307,GENERAL CANDY,
1STA308,GENERAL CANDY,
1STA311,GENERAL CANDY,
1SWE211,GENERAL CANDY,
1TRO101,GENERAL CANDY,
1TRO111,GENERAL CANDY,
1TRO112,GENERAL CANDY,
1TRO113,GENERAL CANDY,
1TRO114,GENERAL CANDY,
1TRO115,GENERAL CANDY,
1TWI101,GENERAL CANDY,
1TWI102,GENERAL CANDY,
1TWI103,GENERAL CANDY,
1TWI301,GENERAL CANDY,
1TWI302,GENERAL CANDY,
